"CITY","LAT","LNG"
Labbi Camp,16.5,121.0667
Villa Remedios,16.7043,121.8306
Concong,17.6127,121.8016
Upas,18.088,120.6098
Silauan Sur,16.7033,121.6778
Casitan,18.2626,121.9327
Bagaong,17.6103,120.6759
Concepcion,16.972,121.7091
Gubu,18.3538,121.4435
Rizal,17.1148,121.7607
Rizal,16.9154,121.8027
Rizal,17.1241,121.6207
Rizal,16.835,121.6767
Cabaritan West,18.4221,121.4808
Cabayogan,17.4747,120.5928
Macsillo,18.2457,121.8193
Villa Fugu,16.9572,121.6276
Disimuray,16.8707,121.8858
Luga,18.2287,121.8926
Panang,16.4168,121.7357
Namarabar,17.5542,120.6427
Dilaan,18.2217,120.6004
Calungbayan,17.9378,120.6421
West,17.6,120.6667
Tumucalao,18.2333,120.6333
Lacab,16.5501,121.6735
Victory Norte,16.686,121.5462
Ricarte Norte,16.5799,121.496
Tenodan,16.6364,120.848
Surrate,18.0725,120.7412
Casat,16.5139,121.1497
Mungo East,17.7206,121.4819
Luna,16.97,121.73
Banaue,16.9119,121.0614
Villa Verde,16.6067,121.1828
Santa Teresita,18.2519,121.91
Rizal,17.5,121.6
Cervantes,16.9917,120.7333
Tublay,16.4764,120.6333
Tadian,16.9961,120.8208
Espiritu,17.9806,120.6544
Kapangan,16.5764,120.6053
Diadi,16.66,121.3686
Atok,16.6272,120.7672
Rizal,17.8478,121.345
Lagawe,16.7975,121.1228
Tinoc,16.675,120.9367
Santa Fe,16.1592,120.9378
Marcos,18.0444,120.6786
Bucay,17.54,120.72
Flora,18.2147,121.4186
Kiangan,16.7775,121.0878
Palanan,17.0589,122.43
Saguday,16.5394,121.5636
Dilasag,16.4,122.22
Kibungan,16.6939,120.6539
La Paz,17.6739,120.6847
Kabugao,18.0239,121.1833
Kabayan,16.6233,120.8381
Mayoyao,16.9736,121.2214
Pudtol,18.2356,121.3733
Ambaguio,16.5316,121.0282
Lagangilang,17.61,120.73
Tayum,17.62,120.66
Bakun,16.7925,120.6614
Bokod,16.4914,120.83
Santa Marcela,18.2872,121.4375
Tinglayan,17.265,121.1489
Malalam,17.1196,121.9031
Quibal,17.337,121.7556
Allavan,16.2772,121.0405
Ammubuan,18.3963,121.5352
Ngayao,18.1257,120.5955
Bacareña,16.8862,121.5762
Bayabat,17.8252,121.6119
Arcon,17.2884,121.835
Tabungaw,18.3067,120.6209
Cali,18.0702,120.6864
Adinaonao,16.5577,120.6995
Curifang,16.5167,121.2243
Magsayssay,16.4887,121.1422
San Manuel,16.8687,121.5981
San Manuel,17.0231,121.8635
Bannag,18.2,121.6667
Gaftug,16.85,120.75
Tuao North,16.5764,121.2496
Abbuatan,17.3003,121.8022
Caballyal,17.8503,121.6233
Ipang,16.5308,121.1864
Aggub,16.5612,121.2026
Macayepyep,17.9353,120.6578
Caldaan,16.5302,121.1849
Vintar,17.15,121.8833
Asassi,17.9048,121.7689
Dipintin,16.2879,121.6656
Caccag,17.9667,121.6167
Morado,17.1766,121.9262
Guising,18.021,121.6196
Asin Boji,17.3375,121.7875
Diego Silang,16.6288,121.4888
Ambongdolan,16.5435,120.6285
Labinab Pequeño,16.9859,121.8168
Quirino,18.3381,121.3852
Macapil,17.7834,121.4662
Lenzon,17.0377,121.8109
Patucannay,17.6073,120.6255
Tyan,16.4591,120.6333
Dabburab,16.8981,121.8179
Basil,16.5007,120.6051
Macupit,18.2944,120.64
Murong,16.6008,121.2276
Estefania,17.7995,121.7231
Turod,17.0011,121.787
Tagudtud,17.5951,120.7532
Dabbac Grande,17.8761,121.8885
Pinoma,16.8742,121.7067
San Ambrocio,18.25,120.6
San Gregorja,17.648,120.6434
Cattanamman,18.0333,121.7167
Pisang,17.0371,121.6625
Pisang,17.05,121.8333
Zig Zag Gate,16.3667,120.6
Mallabo,16.9938,121.9872
Cajel,16.5663,121.5119
Rantay,18.318,120.6041
Cabuluan,17.5933,120.6077
Aguet Sur,17.6103,120.7287
Fula,18.2491,121.7839
Poblacion Tres,17.4663,121.7503
Calabasa,17.0167,121.7
Pulay,16.9843,121.708
Sangil,18.2441,120.5939
Latar Noc-Nor,16.2604,121.0545
Maluno Norte,17.0193,121.9606
Sidem,18.0692,121.6967
Guribang,16.6384,121.4748
Salinungan East,16.8738,121.6208
Cabeseria Tres,17.0324,121.966
Lanna,17.696,121.7001
Lanna,17.5775,121.7282
Lanna,17.85,121.65
Amtaki,16.52,120.6371
San Antonio South,16.3278,121.1145
Luquilu,17.4295,121.7629
Sapid,16.852,120.7892
Santo Niño,16.313,121.6807
Tonoton,18.1568,120.7004
Quilliat,17.6,120.6167
Poblacion,17.4705,121.4695
San Luis,17.6802,121.4519
Minanga,17.2634,121.8342
Minanga,16.9723,121.8355
Minanga,16.9953,122.0194
Buneg,16.7059,121.6459
Baramban,17.0961,121.5835
Baramban,17.05,121.8333
San Geronimo,16.6136,121.2498
Santa Filomena,18.4299,121.4642
Catlubong,16.7402,120.8453
Magaad,16.6164,121.2211
Lomismo,18.0353,121.6472
Agani,17.9178,121.7039
Bagabag,16.6167,121.0167
Appas,17.4466,121.4544
Lingtan,17.614,120.6273
Nagbalayan Aguinaldo,16.938,121.9352
Villa Lucban,17.0127,122.0398
San Andres,16.9608,121.6653
San Andres,16.9021,121.6119
Napaccu Pequeño,16.9779,121.7866
Baralit,18.1792,120.6635
Pagmoc,16.7167,120.8333
Little Baguio,16.5825,121.1615
Diwas,17,122.0333
Smart,18.2528,121.9972
Calao West,16.6924,121.5533
Nambaran,18.2674,120.6461
Ampalang,16.7167,120.8167
Marabulig Primero,16.928,121.7624
Sotero Nuesa,17.1273,121.6142
San Agustin,18.1267,120.5871
Laoageña,17.9333,121.7667
Diamantina,16.918,121.6267
Balong,17.5476,121.4732
Macalong,16.3413,121.2412
Ambatali,16.8303,121.5148
Sagat,16.6613,121.4704
Libag,17.6069,121.7524
Paoay,17.2617,121.8553
Cullit,18.0425,121.6686
Roxas,17.0227,121.8382
Dalin,17.9841,121.9169
Mongcol,16.5376,121.1737
Abucay,18.1591,120.7403
Nemmatan,16.527,121.7364
Pandon,18.1428,120.6738
Caliguian,17.0698,121.6901
Lattac,17.837,121.555
Tabang,17.8286,121.5626
San Mateo,18.1722,120.6299
Paoa,17.6,120.7667
Lucban,16.6028,121.4828
Gaang,17.6833,120.7167
Pinaripad,16.4668,121.614
Santa Maria,16.2963,121.0796
Barabar,18.1469,120.6183
Nangalisan,17.6495,121.673
Poblacion,18.215,121.4158
Umoc,16.5882,121.156
Calantas,16.2833,122.1167
Lucbuban,16.3667,120.6833
Tagga-Dadda,17.579,121.7673
Raniag,16.7627,121.54
Nabuccayan,17.9483,121.6102
Pintor,17.05,121.8333
Victoria,16.4387,121.6373
Bangbangar,17.6078,120.6051
Orioung,16.6333,121.35
Villa Paz,17.0218,121.881
San Rafael Abajo,17.4117,121.7613
Conner,17.8086,121.2889
San Isidro,16.87,121.77
Quezon,17.3119,121.605
Casiguran,16.28,122.12
Kayapa,16.3583,120.8861
San Pablo,17.4478,121.795
Lamut,16.6517,121.2178
Burgos,17.07,121.7
Santa Maria,17.47,121.75
Nagtipunan,16.22,121.6
Camalaniugan,18.2756,121.6756
Sarrat,18.1578,120.6447
Quirino,17.1356,121.735
Solsona,18.0961,120.7725
Piat,17.7919,121.4769
Pamplona,18.4661,121.3425
Santo Tomas,17.4,121.77
Bontoc,17.09,120.9772
Quezon,16.4894,121.2639
Piddig,18.1647,120.7172
San Agustin,16.52,121.75
Luna,18.3311,121.3725
Dupax del Sur,16.2842,121.0917
Aguinaldo,16.9789,121.3272
San Guillermo,16.7244,121.81
Buliwang,16.8206,121.1145
Minuri,16.5323,121.8553
Gabon,18.088,120.6836
Cabugao,16.7084,121.6793
Bubu-os,18.1333,120.7667
Ajjao,17.8928,121.8703
Pissay,16.7466,121.7698
Bulbulala,18.2182,120.6958
Santa,17.3374,121.8082
Almaguer South,16.347,121.092
Payed,16.8737,120.8008
Bayabo West,17.2575,121.8561
Rondado,17.5697,121.6833
Gadgadan,16.3432,121.1083
Padeyto,16.636,120.8361
Cabuluan,16.595,121.1546
Limbos,18.3893,122.1371
Tullag,16.5705,121.2493
Curarig,18.2333,120.6
Maligaya,16.6974,121.6504
Maligaya,17.2793,121.8274
Maligaya,17.1864,121.6116
Salamagui,16.5544,121.1674
Barangay Segundo,16.5519,121.7
Calamagui East,17.4882,121.7685
Casibarag Norte,17.4371,121.7541
Paddad,16.8074,121.7192
Pauong,18.1833,120.5667
Fugu Norte,17.3435,121.7785
Calao East,16.6946,121.5536
Bacradal,16.6402,121.6823
Paykek,16.5856,120.6033
Abbeg,17.8455,121.6195
Porporiket,17.7049,120.7263
Alabug West,17.7354,121.4671
Masablang,17.5378,121.4387
Dolores,17.1879,121.774
Guribang,16.6343,121.5066
Picao,16.3833,120.6833
Banganan,16.3144,121.0544
Sadanga,17.1681,121.0264
San Emilio,17.2394,120.5786
Peñarrubia,17.56,120.65
Besao,17.0953,120.8561
Luba,17.32,120.7
Sallapadan,17.46,120.76
Divilaca,17.33,122.3
Dinapigue,16.525,122.2636
Villaviciosa,17.44,120.63
Tubo,17.26,120.73
Tineg,17.78,120.94
Gawana,17.0414,121.0994
San Isidro,17.47,120.6
Licuan,17.6092,120.9053
Boliney,17.38,120.82
Lagayan,17.72,120.71
Gregorio del Pilar,17.1483,120.6111
Danglas,17.6931,120.6653
Malibcong,17.56,120.99
Maconacon,17.3871,122.2379
Lacub,17.66,120.95
Sigay,17.0439,120.5806
Bucloc,17.44,120.86
Adams,18.4614,120.9021
Daguioman,17.46,120.93
Carasi,18.1428,120.8214
Tuplac,16.7666,121.0799
Calambeg,18.1806,120.729
Ajat,17.7487,121.7354
Cabuluan West,18.4222,121.4911
Manaoag,17.7547,121.7457
Gammad,17.7104,121.7437
Liglig,17.2678,121.1547
Dariwdiw,18.0993,120.5983
Lam-ag,17.6729,120.7322
Nagpapalcan,18.132,120.7831
Taroc,17.05,121.8333
Parsoliñgan,16.5667,120.6
Cadalagan,18.2517,122.0022
Papan Weste,16.5228,121.7874
Mangayang,16.3106,121.0702
Bilbila,17.6843,120.6674
Ugac,17.7725,121.7172
Bangsar,17.9548,120.6466
Minanga Proper,16.7598,121.7201
Sirit,18.4106,121.419
Bantay,18.2513,121.6927
Cataraoan,18.05,121.6167
Mabini,16.8134,121.7254
Mabini,17.0994,121.7345
Dammang East,16.6915,121.6739
Natayag,18.0476,120.5892
Tiker,17.6064,120.6767
Kalabaza,16.9769,121.6332
Chayo,16.9711,121.2142
San Ciriaco,18.2667,120.5833
Talugtug,18.0992,120.7678
Bulala Sur,18.381,121.5783
Lataag,18.1797,120.6403
Navotas,18.2313,120.5631
