drone_id,status,base,assigned_ticket
DR1,available,Manila,
DR2,available,Manila,
DR3,available,Cebu,
DR4,available,Cebu,
DR5,available,Davao,
DR6,available,Davao,
DR7,available,Baguio,
DR8,available,Baguio,
DR9,available,Zamboanga,
DR10,available,Zamboanga,
DR11,available,Iloilo,
DR12,available,Iloilo,
DR13,available,General Santos,
DR14,available,General Santos,
DR15,available,Tuguegarao,
DR16,available,Tuguegarao,
DR17,in_mission,Legazpi,T94
DR18,available,Legazpi,
DR19,available,Puerto Princesa,
DR20,available,Puerto Princesa,
