drone_id,status,base,assigned_ticket
DR1,available,Manila,
DR2,available,Manila,
DR3,available,Manila,
DR4,available,Manila,
DR5,available,Manila,
DR6,available,Manila,
DR7,available,Manila,
DR8,available,Manila,
DR9,available,Manila,
DR10,available,Manila,
DR11,available,Cebu,
DR12,available,Cebu,
DR13,available,Cebu,
DR14,available,Cebu,
DR15,available,Cebu,
DR16,available,Cebu,
DR17,available,Cebu,
DR18,available,Cebu,
DR19,available,Cebu,
DR20,available,Cebu,
DR21,available,Davao,
DR22,available,Davao,
DR23,available,Davao,
DR24,available,Davao,
DR25,available,Davao,
DR26,available,Davao,
DR27,available,Davao,
DR28,available,Davao,
DR29,available,Davao,
DR30,available,Davao,
DR31,available,Baguio,
DR32,available,Baguio,
DR33,available,Baguio,
DR34,available,Baguio,
DR35,available,Baguio,
DR36,available,Baguio,
DR37,available,Baguio,
DR38,available,Baguio,
DR39,available,Baguio,
DR40,available,Baguio,
DR41,available,Zamboanga,
DR42,available,Zamboanga,
DR43,available,Zamboanga,
DR44,available,Zamboanga,
DR45,available,Zamboanga,
DR46,available,Zamboanga,
DR47,available,Zamboanga,
DR48,available,Zamboanga,
DR49,available,Zamboanga,
DR50,available,Zamboanga,
DR51,available,Iloilo,
DR52,available,Iloilo,
DR53,available,Iloilo,
DR54,available,Iloilo,
DR55,available,Iloilo,
DR56,available,Iloilo,
DR57,available,Iloilo,
DR58,available,Iloilo,
DR59,available,Iloilo,
DR60,available,Iloilo,
DR61,available,General Santos,
DR62,available,General Santos,
DR63,available,General Santos,
DR64,available,General Santos,
DR65,available,General Santos,
DR66,available,General Santos,
DR67,available,General Santos,
DR68,available,General Santos,
DR69,available,General Santos,
DR70,available,General Santos,
DR71,available,Tuguegarao,
DR72,available,Tuguegarao,
DR73,available,Tuguegarao,
DR74,available,Tuguegarao,
DR75,available,Tuguegarao,
DR76,available,Tuguegarao,
DR77,available,Tuguegarao,
DR78,available,Tuguegarao,
DR79,available,Tuguegarao,
DR80,available,Tuguegarao,
DR81,available,Legazpi,
DR82,available,Legazpi,
DR83,available,Legazpi,
DR84,available,Legazpi,
DR85,available,Legazpi,
DR86,available,Legazpi,
DR87,available,Legazpi,
DR88,available,Legazpi,
DR89,available,Legazpi,
DR90,available,Legazpi,
DR91,available,Puerto Princesa,
DR92,available,Puerto Princesa,
DR93,available,Puerto Princesa,
DR94,available,Puerto Princesa,
DR95,available,Puerto Princesa,
DR96,available,Puerto Princesa,
DR97,available,Puerto Princesa,
DR98,available,Puerto Princesa,
DR99,available,Puerto Princesa,
DR100,available,Puerto Princesa,
