sample_id,latitude,longitude,ndvi,priority,assigned,assigned_drone,assigned_base
2359,16.36581344697906,121.13403577180124,0.3259889834752128,2,True,SAN-001,San Antonio South
2360,16.365476898912927,121.13684683454372,0.3273676360924683,2,True,SAN-002,San Antonio South
2361,16.36723852393941,121.1521799633544,0.3593936976465895,2,True,SAN-003,San Antonio South
2363,16.358959062289564,121.13550481463864,0.3958418263350999,2,True,MAC-001,Macalong
2365,16.380167097832263,121.16329057643765,0.3934335002782415,2,True,MAC-002,Macalong
2366,16.377256962465832,121.16116498370438,0.3856998992950655,2,True,MAC-003,Macalong
2367,16.37375443596019,121.1740211345928,0.39119804400978,2,True,MAG-001,Magsayssay
2368,16.365594558330287,121.13993437275413,0.3988157436433298,2,True,MAG-002,Magsayssay
2369,16.36366818344936,121.1366768158898,0.3721264367816091,2,True,MAG-003,Magsayssay
2371,16.358127651334595,121.13345368887845,0.3598519888991674,2,True,ALL-001,Allavan
2372,16.353220385448473,121.13031829242286,0.3671061762664816,2,True,ALL-002,Allavan
2373,16.380343832644932,121.1732109441991,0.3746478873239436,2,True,CAS-001,Casat
2374,16.392954390999762,121.16860010857606,0.3636881047239613,2,True,CAS-002,Casat
2375,16.39647660651396,121.22099038687836,0.3595903899172902,2,True,CUR-001,Curifang
2376,16.386620616983677,121.1676296299367,0.3855569155446756,2,True,CAS-003,Casat
2378,16.40109172864126,121.21111878037406,0.3986121819583654,2,True,CUR-002,Curifang
2379,16.406036600169045,121.2081714346028,0.3501259445843829,2,True,CUR-003,Curifang
2381,16.396738960273876,121.21995824864602,0.3080032336297494,2,True,CAL-001,Caldaan
2382,16.367899025386524,121.13485830869924,0.3987603305785124,2,True,ALL-003,Allavan
2383,16.366180663223787,121.13468745010836,0.3577825159914712,2,True,LAT-001,Latar Noc-Nor
2385,16.381258955599677,121.15382634343986,0.3203883495145631,2,True,LAB-001,Labbi Camp
2386,16.36603060705405,121.13815191856835,0.3771517996870109,2,True,LAT-002,Latar Noc-Nor
2387,16.372523311883278,121.14688862106946,0.3993808049535604,2,True,LAT-003,Latar Noc-Nor
2388,16.3500779543196,121.13259431326486,0.3994910941475827,2,True,LAB-002,Labbi Camp
2389,16.361143267442532,121.13726234488308,0.3016393442622951,2,True,LAB-003,Labbi Camp
2390,16.360342501234687,121.13867383949756,0.3755441234665611,2,True,CAL-002,Caldaan
2392,16.372879411793964,121.16691564032594,0.3430656934306569,2,True,CAL-003,Caldaan
2393,16.383382513547186,121.13845521273414,0.397037037037037,2,True,IPA-001,Ipang
2394,16.375827876554027,121.15275426341742,0.3790891597177678,2,True,IPA-002,Ipang
2396,16.36047101802087,121.13277625902737,0.3327882256745707,2,True,IPA-003,Ipang
2397,16.36081988712933,121.14157070888668,0.365079365079365,2,True,MON-001,Mongcol
2399,16.361473817988816,121.14399795795448,0.3345633456334563,2,True,MON-002,Mongcol
2402,16.373436204778383,121.16859524906482,0.3463605276013679,2,True,MON-003,Mongcol
2403,16.381050102625764,121.18172239467206,0.3286991062562066,2,True,AGG-001,Aggub
2404,16.367530979660714,121.13411303619807,0.3759001440230436,2,True,AMB-001,Ambaguio
2405,16.36627101606145,121.13468659127558,0.3785407725321888,2,True,AMB-002,Ambaguio
2407,16.37566769558545,121.15509580022923,0.3342857142857143,2,True,AGG-002,Aggub
2408,16.359080038709227,121.13896658643073,0.3886255924170616,2,True,AMB-003,Ambaguio
2409,16.37944263010254,121.16311015632218,0.386530843237125,2,True,AGG-003,Aggub
2411,16.370955256702405,121.1330508931501,0.3875205254515599,2,True,LIT-001,Little Baguio
2412,16.3695966454559,121.1326894327502,0.3761164406218987,2,True,LIT-002,Little Baguio
2413,16.365814276373104,121.13412935943994,0.3699095022624434,2,True,LIT-003,Little Baguio
2415,16.381437198647898,121.15354385332763,0.367986798679868,2,True,TUA-001,Tuao North
2416,16.37053252052699,121.1363308393243,0.3744174003107198,2,True,TUA-002,Tuao North
2417,16.368271212423686,121.13607152872974,0.3224237063246351,2,True,TUA-003,Tuao North
2418,16.362766309877884,121.13687256603345,0.3596707818930041,2,True,VIL-001,Villa Verde
2419,16.378074238612356,121.16162533293168,0.3813559322033898,2,True,VIL-002,Villa Verde
2420,16.373753623909536,121.17392754105558,0.3759331143624962,2,True,MUR-001,Murong
2421,16.370954426576,121.13295730311786,0.3740710156895128,2,True,VIL-003,Villa Verde
2423,16.36587253685899,121.15097607348822,0.3037490436113236,2,True,MUR-002,Murong
2424,16.358218004177438,121.13345282992432,0.3681008257279444,2,True,MUR-003,Murong
2425,16.349148699471066,121.12970193601689,0.3939393939393939,2,True,SAN-001,Santa Fe
2427,16.348566812720193,121.13541629614132,0.327033412082349,2,True,SAN-002,Santa Fe
2428,16.380259086164298,121.16347692217488,0.376220562894888,2,True,MAG-001,Magaad
2430,16.36530999242858,121.16932627796346,0.3389423076923077,2,True,MAG-002,Magaad
2431,16.379722942710714,121.15384080708677,0.365544167886774,2,True,MAG-003,Magaad
2432,16.371687868303965,121.14436934427376,0.3447293447293447,2,True,SAN-001,San Geronimo
2434,16.372052722358376,121.15503620249736,0.3995565410199556,2,True,SAN-002,San Geronimo
2435,16.35598900640729,121.13684329040647,0.3749375936095856,2,True,SAN-003,Santa Fe
2436,16.35755013460009,121.14993135698543,0.3761541549578482,2,True,SAN-003,San Geronimo
2437,16.37809308905408,121.17416794514828,0.3883495145631068,2,True,BAG-001,Bagabag
2438,16.37651638355164,121.12841153616492,0.3924611973392461,2,True,BAG-002,Bagabag
2439,16.368688967084594,121.1322300872529,0.3677003624647603,2,True,BAG-003,Bagabag
2441,16.381898610450968,121.14436632725624,0.3915343915343915,2,True,BOK-001,Bokod
2442,16.381526730790984,121.1534494061694,0.3384681215233205,2,True,BOK-002,Bokod
2443,16.371239401859402,121.14474798073049,0.324459234608985,2,True,BOK-003,Bokod
2444,16.369674787768403,121.15178262707254,0.3011857707509881,2,True,DIA-001,Diadi
2447,16.357936012399094,121.14244033659968,0.3997155049786628,2,True,DIA-002,Diadi
2448,16.373253866836503,121.16840975026663,0.3075435203094777,2,True,DIA-003,Diadi
2449,16.369092672367575,121.167887008503,0.3571778539931406,2,True,TIN-001,Tinoc
2450,16.366362198030497,121.13477932037205,0.3763258379295714,2,True,TIN-002,Tinoc
2451,16.380032001333756,121.1376446050798,0.3756294058408862,2,True,TIN-003,Tinoc
2453,16.370570593400743,121.14063598543716,0.3746097814776274,2,True,KAB-001,Kabayan
2454,16.367237702496645,121.15208637407534,0.3888452474469756,2,True,RIC-001,Ricarte Norte
2455,16.359748195689235,121.13278313399856,0.3996655518394649,2,True,KAB-002,Kabayan
2456,16.352417172744282,121.1314490062736,0.3795885437676482,2,True,KAB-003,Kabayan
2457,16.35205410173164,121.13126528258348,0.3974895397489539,2,True,TEN-001,Tenodan
2459,16.37238678088435,121.13144609336642,0.3417607223476298,2,True,TEN-002,Tenodan
2460,16.367531809104953,121.13420662465973,0.3184031158714703,2,True,TEN-003,Tenodan
2461,16.365723094171095,121.13403663090824,0.3899905571293673,2,True,RIC-002,Ricarte Norte
2464,16.349147868931897,121.12960835655572,0.3785772690106296,2,True,RIC-003,Ricarte Norte
2465,16.343932299440304,121.13246555171224,0.3462908973113054,2,True,CAJ-001,Cajel
2466,16.360433681397392,121.13876656814432,0.3427119968737788,2,True,CAJ-002,Cajel
2467,16.36100554784719,121.14213051270649,0.3579399141630901,2,True,CAJ-003,Cajel
2468,16.353700952898688,121.14379065943623,0.3801452784503632,2,True,GUR-001,Guribang
2469,16.369822949510915,121.13783514099164,0.3278688524590163,2,True,KIA-001,Kiangan
2470,16.369827916304036,121.13839667959373,0.377491961414791,2,True,KIA-002,Kiangan
2472,16.367147348772725,121.1520872249527,0.3589220089832585,2,True,GUR-002,Guribang
2473,16.36752846716644,121.15432996868368,0.3496748374187093,2,True,GUR-003,Guribang
2474,16.355067257954932,121.13479304534872,0.3539462978030919,2,True,KIA-003,Kiangan
2475,16.361862780036,121.13688114211756,0.3626225076039202,2,True,DIE-001,Diego Silang
2477,16.35764048829577,121.1499305056432,0.3880478087649402,2,True,DIE-002,Diego Silang
2478,16.343344534587626,121.13752471848504,0.3918544879398972,2,True,DIE-003,Diego Silang
2479,16.377506744549308,121.15872898246523,0.3292433537832311,2,True,SAG-001,Sagat
2480,16.377325217576363,121.15863708478614,0.3450527373179307,2,True,SAG-002,Sagat
2481,16.36678486972161,121.16229271397668,0.3930348258706467,2,True,SAG-003,Sagat
2482,16.37185048855312,121.17329005638648,0.3107454017424976,2,True,SAG-001,Saguday
2483,16.36604632388867,121.13993009077303,0.3771839671120247,2,True,LAG-001,Lagawe
2484,16.35832410631438,121.13523006846802,0.373652133145804,2,True,LAG-002,Lagawe
2485,16.356919861795394,121.1297215238074,0.3231046931407942,2,True,ATO-001,Atok
2486,16.3505181043187,121.13127989535828,0.3654946852003271,2,True,ATO-002,Atok
2487,16.36159172106749,121.13688371483757,0.3722735674676525,2,True,LAG-003,Lagawe
2488,16.356079359443477,121.13684243313004,0.3976608187134502,2,True,ATO-003,Atok
2489,16.379352275920763,121.1631110027914,0.3284403669724771,2,True,SAG-002,Saguday
2490,16.38324072557613,121.13265311613648,0.3738910012674271,2,True,PAG-001,Pagmoc
2491,16.36818085953164,121.13607238703584,0.3105413105413105,2,True,SAG-003,Saguday
2493,16.371573569467614,121.141656063789,0.3568215892053973,2,True,PAG-002,Pagmoc
2495,16.360742906086834,121.13286726597784,0.3560477001703577,2,True,PAG-003,Pagmoc
2496,16.361682074057807,121.1368828572696,0.3333333333333333,2,True,ADI-001,Adinaonao
2497,16.354326004406747,121.1429424376866,0.3772116065109696,2,True,ADI-002,Adinaonao
2498,16.382636869893112,121.16673082093,0.3948161543098252,2,True,CAT-001,Catlubong
